Buffalo,-7,97,26.7,88,33.7,99,MAC
Tulane,-7.2,98,21.5,112,28.7,75,AAC
Louisiana,-7.2,99,30.9,56,38.1,114,SUN BELT
Nevada-Las Vegas,-7.5,100,33.3,38,40.7,121,MWC
Western Kentucky,-8.6,101,21.4,114,30,81,CUSA
Texas State,-8.8,102,17.1,124,25.8,50,SUN BELT
Louisiana-Monroe,-8.9,103,25.9,91,34.8,105,SUN BELT
Middle Tennessee State,-9.3,104,21.5,113,30.8,86,CUSA
Oregon State,-9.4,105,29.3,68,38.7,116,PAC TWELVE
Alabama-Birmingham,-9.8,106,19,119,28.8,76,CUSA
Kansas,-12.1,107,20.4,117,32.5,96,BIG TWELVE
Rutgers,-12.3,108,18.7,121,31,87,BIG TEN
Colorado State,-12.8,109,24.1,102,36.8,112,MWC
Ball State,-12.9,110,23.5,105,36.4,111,MAC
Kent State,-13.7,111,24.6,99,38.3,115,MAC
Liberty,-13.8,112,27.5,84,41.3,123,IND
East Carolina,-14.4,113,20.1,118,34.5,104,AAC
Georgia State,-15.2,114,26.1,90,41.3,122,SUN BELT
New Mexico,-15.3,115,23.9,104,39.1,117,MWC
Coastal Carolina,-15.6,116,28.4,79,44,127,SUN BELT
San Jose State,-16.2,117,18.2,122,34.4,103,MWC
Navy,-16.3,118,25.6,93,41.9,125,AAC
Old Dominion,-17.6,119,22.2,110,39.7,119,CUSA
Charlotte,-17.8,120,14.6,126,32.5,95,CUSA
New Mexico State,-17.9,121,22.5,108,40.4,120,IND
Central Michigan,-18.5,122,13.7,128,32.2,93,MAC
Bowling Green State,-19.4,123,27.5,85,46.9,130,MAC
Akron,-19.9,124,14.4,127,34.3,101,MAC
Massachusetts,-19.9,125,24.7,98,44.7,128,IND
Rice,-20,126,18,123,38,113,CUSA
South Alabama,-20.8,127,22.5,109,43.3,126,SUN BELT
Texas-San Antonio,-21.7,128,13.5,129,35.2,108,CUSA
Connecticut,-24.7,129,21,115,45.7,129,AAC
Texas-El Paso,-28.5,130,12.8,130,41.3,124,CUSA
FCS, -15, 131, 0, 131, 0, 131
