1,1,Aug 26 2017,3:00 PM,Sat,Brigham Young,20,,Portland State,6,,
2,1,Aug 26 2017,2:30 PM,Sat,Colorado State,58,,Oregon State,27,,
3,1,Aug 26 2017,6:00 PM,Sat,Hawaii,38,@,Massachusetts,35,,
4,1,Aug 26 2017,7:30 PM,Sat,(19) South Florida,42,@,San Jose State,22,,
5,1,Aug 26 2017,10:00 PM,Sat,(14) Stanford,62,,Rice,7,,Allianz Stadium - Sydney AUS
6,2,Aug 31 2017,10:30 PM,Thu,Arizona State,37,,New Mexico State,31,,
7,2,Aug 31 2017,8:00 PM,Thu,Arkansas,49,,Florida A&M,7,,
8,2,Aug 31 2017,6:00 PM,Thu,Central Florida,61,,Florida International,17,,
9,2,Aug 31 2017,7:00 PM,Thu,Central Michigan,30,,Rhode Island,27,,
10,2,Aug 31 2017,7:00 PM,Thu,Cincinnati,26,,Austin Peay,14,,
11,2,Aug 31 2017,7:30 PM,Thu,Connecticut,27,,Holy Cross,20,,
12,2,Aug 31 2017,9:00 PM,Thu,Idaho,28,,Sacramento State,6,,
13,2,Aug 31 2017,9:00 PM,Thu,Memphis,37,,Louisiana-Monroe,29,,
14,2,Aug 31 2017,7:00 PM,Thu,Minnesota,17,,Buffalo,7,,
15,2,Aug 31 2017,8:00 PM,Thu,(2) Ohio State,49,@,Indiana,21,,
16,2,Aug 31 2017,7:30 PM,Thu,(10) Oklahoma State,59,,Tulsa,24,,
17,2,Aug 31 2017,7:00 PM,Thu,Tennessee State,17,@,Georgia State,10,,
18,2,Aug 31 2017,7:00 PM,Thu,Toledo,47,,Elon,13,,
19,2,Aug 31 2017,7:30 PM,Thu,Utah,37,,North Dakota,16,,
20,2,Aug 31 2017,6:30 PM,Thu,Wake Forest,51,,Presbyterian,7,,
21,2,Sep 1 2017,6:00 PM,Fri,Army,64,,Fordham,6,,
22,2,Sep 1 2017,9:30 PM,Fri,Boston College,23,@,Northern Illinois,20,,
23,2,Sep 1 2017,8:00 PM,Fri,Colorado,17,,Colorado State,3,,Sports Authority Field - Denver Colorado
24,2,Sep 1 2017,6:30 PM,Fri,Eastern Michigan,24,,Charlotte,7,,
25,2,Sep 1 2017,8:00 PM,Fri,Navy,42,@,Florida Atlantic,19,,
26,2,Sep 1 2017,7:00 PM,Fri,Syracuse,50,,Central Connecticut State,7,,
27,2,Sep 1 2017,8:00 PM,Fri,(8) Washington,30,@,Rutgers,14,,
28,2,Sep 1 2017,9:00 PM,Fri,(9) Wisconsin,59,,Utah State,10,,
29,2,Sep 2 2017,2:00 PM,Sat,Air Force,62,,Virginia Military Institute,0,,
30,2,Sep 2 2017,8:00 PM,Sat,(1) Alabama,24,,(3) Florida State,7,,Mercedes-Benz Stadium - Atlanta Georgia
31,2,Sep 2 2017,3:30 PM,Sat,Alabama-Birmingham,38,,Alabama A&M,7,,
32,2,Sep 2 2017,11:00 PM,Sat,Arizona,62,,Northern Arizona,24,,
33,2,Sep 2 2017,7:30 PM,Sat,(12) Auburn,41,,Georgia Southern,7,,
34,2,Sep 2 2017,3:45 PM,Sat,Boise State,24,,Troy,13,,
35,2,Sep 2 2017,12:20 PM,Sat,California,35,@,North Carolina,30,,
