Alabama,30.4,1,36.9,23,6.5,1
Clemson,27.2,2,45.7,1,18.5,16
Louisiana State,26.7,3,44.8,3,18.1,12
Oklahoma,24,4,44.1,6,20.1,21
Florida State,22.4,5,41.5,9,19.1,18
Michigan,22.4,6,34.9,33,12.5,2
Mississippi,20.9,7,43,8,22.1,27
Tennessee,19.2,8,36.4,24,17.2,9
Southern California,19,9,40.4,13,21.4,25
Washington,19,10,34.7,36,15.7,6
Ohio State,18.7,11,37.6,19,18.9,17
Georgia,17.9,12,32.3,47,14.4,4
Notre Dame,17.7,13,44.3,5,26.6,48
Oregon,17.6,14,44.5,4,26.9,52
UCLA,17.4,15,39.4,14,21.9,26
Stanford,17.1,16,40.8,12,23.7,35
Arkansas,16.9,17,40.9,11,24,37
Louisville,16.4,18,36,27,19.6,20
Baylor,14.9,19,43,7,28.1,60
Florida,14.4,20,29.7,66,15.2,5
Michigan State,14.4,21,32.6,45,18.2,13
Mississippi State,14,22,37.2,20,23.2,32
Texas A&M,13.5,23,32.6,44,19.1,19
Oklahoma State,13,24,41,10,28,58
Auburn,12.9,25,35,32,22.1,28
Texas Christian,12.7,26,37.7,18,24.9,39
Nebraska,12,27,39,15,27,53
Penn State,11.9,28,30.2,61,18.3,14
Pittsburgh,11.9,29,35,31,23.2,31
North Carolina,11.1,30,38.6,16,27.5,54
Miami FL,10.9,31,36.4,25,25.5,43
Texas,9.9,32,33.1,41,23.2,33
Virginia Tech,9.6,33,30.1,63,20.5,23
Brigham Young,9.5,34,32.1,48,22.7,29
West Virginia,9.1,35,37.2,21,28.1,59
Wisconsin,9,36,24.9,94,15.9,7
Boise State,8.8,37,34.4,38,25.6,44
Minnesota,8.3,38,31.8,51,23.5,34
Utah,8.2,39,25.9,86,17.7,11
Iowa,8.2,40,31.2,57,23,30
North Carolina State,7.5,41,32.4,46,24.9,40
South Florida,7.3,42,33.7,40,26.5,46
Western Kentucky,7,43,37.8,17,30.8,77
Texas Tech,5.5,44,44.9,2,39.4,122
Toledo,5,45,31.6,55,26.6,47
