1,1,Aug 24 2019,9:30 PM,Sat,Arizona,,,Hawaii,,,
2,1,Aug 24 2019,6:00 PM,Sat,Florida,,,Miami (FL),,,Camping World Stadium - Orlando Florida
3,2,Aug 29 2019,12:00 PM,Thu,Alabama State,,,Alabama-Birmingham,,,
4,2,Aug 29 2019,12:00 PM,Thu,Albany,,,Central Michigan,,,
5,2,Aug 29 2019,12:00 PM,Thu,Central Arkansas,,,Western Kentucky,,,
6,2,Aug 29 2019,12:00 PM,Thu,Florida A&M,,,Central Florida,,,
7,2,Aug 29 2019,12:00 PM,Thu,Florida International,,,Tulane,,,
8,2,Aug 29 2019,12:00 PM,Thu,Georgia Tech,,,Clemson,,,
9,2,Aug 29 2019,12:00 PM,Thu,Kent State,,,Arizona State,,,
10,2,Aug 29 2019,12:00 PM,Thu,Morgan State,,,Bowling Green State,,,
11,2,Aug 29 2019,12:00 PM,Thu,Northern Colorado,,,San Jose State,,,
12,2,Aug 29 2019,12:00 PM,Thu,Robert Morris,,,Buffalo,,,
13,2,Aug 29 2019,12:00 PM,Thu,South Dakota State,,,Minnesota,,,
14,2,Aug 29 2019,7:30 PM,Thu,Texas State,,,Texas A&M,,,
15,2,Aug 29 2019,12:00 PM,Thu,UCLA,,,Cincinnati,,,
16,2,Aug 29 2019,12:00 PM,Thu,Utah,,,Brigham Young,,,
17,2,Aug 29 2019,12:00 PM,Thu,Wagner,,,Connecticut,,,
18,2,Aug 30 2019,12:00 PM,Fri,Colorado,,,Colorado State,,,Broncos Stadium at Mile High - Denver Colorado
19,2,Aug 30 2019,12:00 PM,Fri,Massachusetts,,,Rutgers,,,
20,2,Aug 30 2019,12:00 PM,Fri,Oklahoma State,,,Oregon State,,,
21,2,Aug 30 2019,8:30 PM,Fri,Purdue,,,Nevada,,,
22,2,Aug 30 2019,12:00 PM,Fri,Rice,,,Army,,,
23,2,Aug 30 2019,12:00 PM,Fri,Tulsa,,,Michigan State,,,
24,2,Aug 30 2019,12:00 PM,Fri,Utah State,,,Wake Forest,,,
25,2,Aug 30 2019,12:00 PM,Fri,Wisconsin,,,South Florida,,,
26,2,Aug 31 2019,12:00 PM,Sat,Abilene Christian,,,North Texas,,,
27,2,Aug 31 2019,12:00 PM,Sat,Akron,,,Illinois,,,
28,2,Aug 31 2019,12:00 PM,Sat,Alabama,,,Duke,,,Mercedes-Benz Stadium - Atlanta Georgia
29,2,Aug 31 2019,12:00 PM,Sat,Alcorn State,,,Southern Mississippi,,,
30,2,Aug 31 2019,12:00 PM,Sat,Arkansas-Pine Bluff,,,Texas Christian,,,
31,2,Aug 31 2019,12:00 PM,Sat,Auburn,,,Oregon,,,AT&T Stadium - Arlington Texas
32,2,Aug 31 2019,12:00 PM,Sat,Ball State,,,Indiana,,,Lucas Oil Stadium - Indianapolis Indiana
33,2,Aug 31 2019,12:00 PM,Sat,Boise State,,,Florida State,,,TIAA Bank Field - Jacksonville Florida
34,2,Aug 31 2019,12:00 PM,Sat,Bucknell,,,Temple,,,
